Category,Description,Carbohydrate,Cholesterol,Choline,Fiber,Kilocalories,Protein,Sugar Total,Water,Monosaturated Fat,Polysaturated Fat,Saturated Fat,Total Lipid
PATE DE FOIE GRAS,"PATE DE FOIE GRAS,CND (GOOSE LIVER PATE),SMOKED",4.67,150,0,0.0,462,11.4,0.0,37.04,25.61,0.84,14.45,43.84
PATIO BF & BEAN BURRITO,"PATIO BF & BEAN BURRITO,MILD,FRZ",30.15,5,0,3.5,207,6.52,5.28000021,54.78,2.51,1.54,2.44,6.75
PEACH NECTAR,"PEACH NECTAR,CND,W/ VIT C",13.92,0,0,0.600000024,54,0.27,0.0,85.64,0.008,0.011,0.002,0.02
PEACHES,"PEACHES,CND,EX HVY SYRUP PK,SOL&LIQUIDS",26.06,0,0,1.0,96,0.47,0.0,73.19,0.011,0.014,0.003,0.03
PEANUT BUTTER,"PEANUT BUTTER,SMOOTH,RED FAT",35.65,0,63,5.199999809,520,25.9,9.279999733,1.2,16.156,9.182,5.76,34.0
PEANUT BUTTER W/ OMEGA-3,"PEANUT BUTTER W/ OMEGA-3,CREAMY",17.0,0,94,6.099999905,608,24.47,3.109999895,0.99,36.614,6.95,9.691,54.17
PEANUT FLOUR,"PEANUT FLOUR,DEFATTED",34.7,0,109,15.80000019,327,52.2,8.220000267,7.8,0.225,0.143,0.063,0.55
PEANUT SPRD,"PEANUT SPRD,RED SUGAR",14.23,0,67,7.800000191,650,24.8,3.339999914,1.93,26.997,16.266,10.22,54.89
PEANUTS,"PEANUTS,ALL TYPES,CKD,BLD,W/SALT",21.26,0,33,8.800000191,318,13.5,2.470000029,41.78,10.921,6.956,3.055,22.01
PEAR NECTAR,"PEAR NECTAR,CND,W/ VIT C",15.76,0,0,0.600000024,60,0.11,0.0,84.01,0.003,0.003,0.001,0.01
PEARS,"PEARS,CND,H2O PK,SOL&LIQUIDS",7.81,0,3,1.600000024,29,0.19,6.099999905,91.81,0.006,0.007,0.002,0.03
PEAS,"PEAS,EDIBLE-PODDED,RAW",7.55,0,17,2.599999905,42,2.8,4.0,88.89,0.021,0.089,0.039,0.2
PEAS&CARROTS,"PEAS&CARROTS,CND,REG PK,SOL&LIQUIDS",8.48,0,0,2.0,38,2.17,0.0,88.15,0.023,0.129,0.049,0.27
PEAS&ONIONS,"PEAS&ONIONS,FRZ,CKD,BLD,DRND,WO/SALT",8.63,0,16,2.200000048,45,2.54,3.769999981,88.18,0.019,0.094,0.036,0.2
PECANS,"PECANS,DRY RSTD,WO/SALT",13.55,0,0,9.399999619,710,9.5,4.059999943,1.12,43.957,20.572,6.283,74.27
PECTIN,"PECTIN,LIQUID",2.1,0,0,2.099999905,11,0.0,0.0,96.9,0.0,0.0,0.0,0.0
PEPEAO,"PEPEAO,DRIED",81.03,0,0,0.0,298,4.82,0.0,11.14,0.0,0.0,0.0,0.44
PEPPER,"PEPPER,BANANA,RAW",5.35,0,7,3.400000095,27,1.66,1.950000048,91.81,0.027,0.243,0.048,0.45
PEPPERIDGE FARM APPL TURNOVERS,"PEPPERIDGE FARM APPL TURNOVERS,FRZ,READY TO BAKE",35.1,0,0,1.799999952,319,4.2,12.10000038,41.9,0.0,0.0,4.53,18.0
PEPPERIDGE FARM CLASSIC STYLE CROUTONS,"PEPPERIDGE FARM CLASSIC STYLE CROUTONS,SEASONED",61.1,0,0,0.0,465,13.6,0.0,2.6,0.0,0.0,3.72,18.5
PEPPERIDGE FARM CRUSTY ITALIAN BREAD,"PEPPERIDGE FARM CRUSTY ITALIAN BREAD,GARLIC",41.6,11,0,0.0,372,8.3,0.0,29.1,7.836,3.665,4.822,19.2
PEPPERMINT,"PEPPERMINT,FRESH",14.89,0,0,8.0,70,3.75,0.0,78.65,0.033,0.508,0.246,0.94
PEPPERONI,"PEPPERONI,PORK,BEEF",0.0,105,77,0.0,494,22.68,0.0,30.72,17.166,3.426,14.86,43.98
PEPPERS,"PEPPERS,PASILLA,DRIED",51.13,0,0,26.79999924,345,12.35,0.0,14.84,0.0,0.0,0.0,15.85
PERCH,"PERCH,MIXED SPECIES,RAW",0.0,90,65,0.0,91,19.39,0.0,79.13,0.152,0.368,0.185,0.92
PERSIMMONS,"PERSIMMONS,JAPANESE,DRIED",73.43,0,0,14.5,274,1.38,0.0,23.01,0.0,0.0,0.0,0.59
PHEASANT,"PHEASANT,BREAST,MEAT ONLY,RAW",0.0,58,0,0.0,133,24.37,0.0,72.4,1.04,0.55,1.1,3.25
PICKLE RELISH,"PICKLE RELISH,HOT DOG",23.35,0,0,1.5,91,1.5,0.0,71.65,0.227,0.11,0.044,0.46
PICKLE&PIMIENTO LOAF,"PICKLE&PIMIENTO LOAF,PORK",8.46,58,32,1.5,225,11.23,8.460000038,60.29,7.06,2.804,5.287,15.95
PICKLES,"PICKLES,CUCUMBER,DILL OR KOSHER DILL",2.59,0,3,1.100000024,12,0.6,1.309999943,94.33,0.002,0.056,0.036,0.14
PICNIC LOAF,"PICNIC LOAF,PORK,BEEF",4.76,38,0,0.0,232,14.92,0.0,60.2,7.68,1.89,6.07,16.64
PIE,"PIE,PEACH",32.9,0,7,0.800000012,223,1.9,6.190000057,54.4,4.241,3.749,1.508,10.0
PIE CRUST,"PIE CRUST,STANDARD-TYPE,FRZ,RTB,UNENR",44.1,0,0,0.899999976,457,3.9,0.0,21.0,12.414,11.0,4.357,29.2
PIE FILLINGS,"PIE FILLINGS,CHERRY,LO CAL",11.98,0,5,1.200000048,53,0.82,9.149999619,86.76,0.0,0.0,0.0,0.16
PIGEON PEAS (RED GM),"PIGEON PEAS (RED GM),MATURE SEEDS,CKD,BLD,WO/SALT",23.25,0,0,6.699999809,121,6.76,0.0,68.55,0.003,0.205,0.083,0.38
PIGEONPEAS,"PIGEONPEAS,IMMAT SEEDS,CKD,BLD,DRND,WO/SALT",19.49,0,38,6.199999809,111,5.96,2.480000019,71.8,0.017,1.149,0.112,1.36
PIKE,"PIKE,NORTHERN,RAW",0.0,39,65,0.0,88,19.26,0.0,78.92,0.157,0.202,0.118,0.69
PILINUTS-CANARYTREE,"PILINUTS-CANARYTREE,DRIED",3.98,0,0,0.0,719,10.8,0.0,2.77,37.229,7.605,31.184,79.55
PILLSBURY,"PILLSBURY,BTTRMLK BISCUITS,ART FLAVOR,REFR DOUGH",45.31,0,0,1.600000024,234,6.25,6.25,40.6,0.0,0.0,0.469,3.13
PILLSBURY GOLDEN LAYER BTTRMLK BISCUIT,"PILLSBURY GOLDEN LAYER BTTRMLK BISCUIT,ART FLAVOR,REFR DOUGH",41.18,0,0,1.200000048,307,5.88,5.880000114,35.5,0.0,0.0,2.941,13.24
PILLSBURY GRANDS,"PILLSBURY GRANDS,BTTRMLK BISCUITS,REFR DOUGH",41.38,0,0,1.200000048,317,6.9,6.900000095,33.5,0.0,0.0,5.172,13.79
PIMENTO,"PIMENTO,CANNED",5.1,0,6,1.899999976,23,1.1,2.710000038,93.1,0.02,0.161,0.045,0.3
PINE NUTS,"PINE NUTS,PINYON,DRIED",19.3,0,0,10.69999981,629,11.57,0.0,5.9,22.942,25.668,9.377,60.98
PINEAPPLE,"PINEAPPLE,RAW,TRADITIONAL VAR",11.82,0,6,0.0,45,0.55,8.289999962,87.24,0.0,0.0,0.0,0.13
PINEAPPLE JUC,"PINEAPPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O",12.77,0,3,0.200000003,52,0.4,12.56999969,86.5,0.003,0.01,0.002,0.03
PINEAPPLE&GRAPEFRUIT JUC DRK,"PINEAPPLE&GRAPEFRUIT JUC DRK,CND",11.6,0,0,0.100000001,47,0.2,11.52000046,87.9,0.01,0.028,0.006,0.1
PINEAPPLE&ORANGE JUC DRK,"PINEAPPLE&ORANGE JUC DRK,CND",11.8,0,0,0.100000001,50,1.3,11.59000015,86.9,0.0,0.0,0.0,0.0
PINON NUTS,"PINON NUTS,RSTD (NAVAJO)",51.06,0,0,43.40000153,541,7.41,0.0,5.0,15.57,14.42,3.21,34.08
PISTACHIO NUTS,"PISTACHIO NUTS,RAW",27.97,0,0,10.30000019,557,20.61,7.639999866,3.97,23.319,13.455,5.44,44.44
PITANGA,"PITANGA,(SURINAM-CHERRY),RAW",7.49,0,0,0.0,33,0.8,0.0,90.81,0.0,0.0,0.0,0.4
PIZZA,"PIZZA,CHS TOPPING,RISING CRUST,FRZ,CKD",32.91,16,17,2.5,260,12.37,5.090000153,43.46,2.198,1.381,3.825,8.78
"PIZZA HUT 12"" CHS PIZZA","PIZZA HUT 12"" CHS PIZZA,REG CRUST",31.22,24,0,1.799999952,271,11.93,3.369999886,43.29,2.919,1.839,5.04,10.89
"PIZZA HUT 12"" PEPPERONI PIZZA","PIZZA HUT 12"" PEPPERONI PIZZA,REG CRUST",31.55,26,0,1.700000048,280,12.86,3.670000076,41.35,4.018,2.034,5.161,11.38
"PIZZA HUT 12"" SUPER SUPREME PIZZA","PIZZA HUT 12"" SUPER SUPREME PIZZA,REG CRUST",25.62,20,0,2.0,243,10.9,3.710000038,50.2,3.953,1.729,4.554,10.72
"PIZZA HUT 14"" CHS PIZZA","PIZZA HUT 14"" CHS PIZZA,REG CRUST",31.63,26,0,1.100000024,271,11.75,3.160000086,43.19,2.576,1.796,4.421,10.87
"PIZZA HUT 14"" PEPPERONI PIZZA","PIZZA HUT 14"" PEPPERONI PIZZA,REG CRUST",32.48,29,0,2.599999905,287,12.17,3.200000048,40.53,3.649,2.074,4.726,12.02
"PIZZA HUT 14"" SUPER SUPREME PIZZA","PIZZA HUT 14"" SUPER SUPREME PIZZA,REG CRUST",26.01,28,0,2.299999952,248,11.34,3.039999962,49.15,3.805,1.875,4.217,10.95
PLAINS PRICKLYPEAR,"PLAINS PRICKLYPEAR,BRLD (NORTHERN PLAINS INDIANS)",21.57,0,0,0.0,91,0.39,0.0,75.83,0.0,0.0,0.0,0.31
PLANTAINS,"PLANTAINS,COOKED",31.15,0,13,2.299999952,116,0.79,14.0,67.3,0.015,0.033,0.069,0.18
PLUMS,"PLUMS,WILD (NORTHERN PLAINS INDIANS)",21.95,0,5,6.0,91,0.43,10.60999966,76.68,0.0,0.0,0.0,0.17
POKEBERRY SHOOTS,"POKEBERRY SHOOTS,(POKE),RAW",3.7,0,0,1.700000048,23,2.6,0.0,91.6,0.0,0.0,0.0,0.4
POLISH SAUSAGE,"POLISH SAUSAGE,PORK",1.63,70,0,0.0,326,14.1,0.0,53.15,13.52,3.08,10.33,28.72
POLLOCK,"POLLOCK,ATLANTIC,RAW",0.0,71,65,0.0,92,19.44,0.0,78.18,0.112,0.483,0.135,0.98
POMEGRANATE JUC,"POMEGRANATE JUC,BTLD",13.13,0,5,0.100000001,54,0.15,12.64999962,85.95,0.059,0.05,0.077,0.29
POMEGRANATES,"POMEGRANATES,RAW",18.7,0,8,4.0,83,1.67,13.67000008,77.93,0.093,0.079,0.12,1.17
POMPANO,"POMPANO,FLORIDA,RAW",0.0,50,65,0.0,164,18.48,0.0,71.12,2.586,1.137,3.509,9.47
POPCORN,"POPCORN,SUGAR SYRUP/CARAMEL,FAT-FREE",90.06,0,13,2.5,381,2.0,64.68000031,6.0,0.26,0.634,0.2,1.4
POPEYES,"POPEYES,FRIED CHICK,MILD,BREAST,MEAT ONLY,SKN",0.99,108,0,0.0,168,29.11,0.0,62.28,1.918,0.532,1.561,5.32
POPOVERS,"POPOVERS,DRY MIX,ENRICHED",71.0,0,0,0.0,371,10.4,0.0,11.7,1.984,0.823,0.983,4.3
PORK,"PORK,LEG SIRLOIN TIP RST,BNLESS,LN & FAT,RAW",0.0,62,80,0.0,113,22.88,0.0,75.88,0.687,0.323,0.524,1.71
PORK & TURKEY SAUSAGE,"PORK & TURKEY SAUSAGE,PRE-COOKED",3.63,72,0,0.0,342,12.05,0.0,50.68,13.054,4.504,9.881,30.64
PORK SAUSAGE,"PORK SAUSAGE,FRSH,RAW",0.0,72,53,0.0,304,15.09,0.0,56.22,11.814,3.558,8.796,26.53
PORK SAUSAGE RICE LINKS,"PORK SAUSAGE RICE LINKS,BROWN&SERVE,CKD",2.36,66,56,0.0,407,13.7,0.0,44.1,8.615,2.368,6.701,37.63
PORK SKINS,"PORK SKINS,PLAIN",0.0,95,164,0.0,544,61.3,0.0,1.8,14.78,3.64,11.37,31.3
PORK&BF SAUSAGE,"PORK&BF SAUSAGE,FRSH,CKD",2.7,71,59,0.0,396,13.8,0.0,44.55,17.18,3.9,12.96,36.25
POTATO,"POTATO,FLESH & SKN,RAW",17.47,0,12,2.200000048,77,2.02,0.779999971,79.34,0.002,0.043,0.026,0.09
POTATO CHIPS,"POTATO CHIPS,FAT FREE,SALTED",83.76,0,54,7.5,379,9.64,3.690000057,2.0,0.015,0.255,0.15,0.6
POTATO PUFFS,"POTATO PUFFS,FRZ,UNPREP",25.97,0,0,1.899999976,175,2.03,0.209999993,62.42,5.413,0.403,1.641,7.77
POTATO SALAD,"POTATO SALAD,HOME-PREPARED",11.17,68,0,1.299999952,143,2.68,0.0,76.0,2.48,3.737,1.429,8.2
POTATO SOUP,"POTATO SOUP,INST,DRY MIX",76.14,12,56,7.599999905,343,9.2,10.0,5.8,1.185,1.025,0.613,3.1
POTATOES,"POTATOES,RUSSET,FLESH & SKN,RAW",18.07,0,13,1.299999952,79,2.14,0.620000005,78.58,0.002,0.035,0.02,0.08
POULTRY,"POULTRY,MECHANICALLY DEBONED,FROM BACKS&NECKS WO/SKN,RAW",0.0,104,0,0.0,199,13.79,0.0,69.29,7.41,2.28,4.71,15.48
POULTRY FD PRODUCTS,"POULTRY FD PRODUCTS,GROUND TURKEY,RAW",0.0,79,0,0.0,149,17.46,0.0,71.97,3.1,2.0,2.25,8.26
POUT,"POUT,OCEAN,RAW",0.0,52,0,0.0,79,16.64,0.0,81.36,0.329,0.032,0.32,0.91
PRAIRIE TURNIPS,"PRAIRIE TURNIPS,RAW (NORTHERN PLAINS INDIANS)",35.67,0,5,8.0,156,2.62,0.819999993,60.69,0.0,0.0,0.0,0.36
PRETZELS,"PRETZELS,HARD,PLN,SALTED",79.2,0,30,3.0,378,10.34,2.75999999,3.44,1.222,1.107,0.501,2.63
PRICKLY PEARS,"PRICKLY PEARS,RAW",9.57,0,0,3.599999905,41,0.73,0.0,87.55,0.075,0.213,0.067,0.51
PRK,"PRK,CRD,HAM W/ NAT JUCS,SPRL SLC,MEAT ONLY,BNLES,LN,HTD,RSTD",0.41,63,86,0.0,126,22.56,1.080000043,69.47,1.606,0.679,1.171,3.78
PRUNE JUICE,"PRUNE JUICE,CANNED",17.45,0,3,1.0,71,0.61,16.45000076,81.24,0.021,0.007,0.003,0.03
PRUNES,"PRUNES,CND,HVY SYRUP PK,SOL&LIQUIDS",27.8,0,0,3.799999952,105,0.87,0.0,70.67,0.13,0.043,0.016,0.2
PUDDING,"PUDDING,LEMON,DRY MIX,REG,PREP W/ SUGAR,EGG YOLK & H2O",24.2,49,0,0.0,109,0.65,13.51000023,73.62,0.47,0.168,0.382,1.12
PUDDINGS,"PUDDINGS,RICE,DRY MIX",91.2,0,0,0.699999988,376,2.7,0.0,4.8,0.0,0.0,0.0,0.1
PUFF PASTRY,"PUFF PASTRY,FRZ,RTB,BKD",45.7,0,6,1.5,558,7.4,0.75,7.4,8.828,22.228,5.502,38.5
PUMMELO,"PUMMELO,RAW",9.62,0,0,1.0,38,0.76,0.0,89.1,0.0,0.0,0.0,0.04
PUMPKIN,"PUMPKIN,CKD,BLD,DRND,WO/SALT",4.9,0,6,1.100000024,20,0.72,1.019999981,93.69,0.009,0.004,0.037,0.07
PUMPKIN FLOWERS,"PUMPKIN FLOWERS,RAW",3.28,0,0,0.0,15,1.03,0.0,95.15,0.009,0.004,0.036,0.07
PUMPKIN LEAVES,"PUMPKIN LEAVES,CKD,BLD,DRND,WO/SALT",3.39,0,21,2.700000048,21,2.72,0.689999998,92.51,0.029,0.012,0.114,0.22
PUMPKIN PIE MIX,"PUMPKIN PIE MIX,CANNED",26.39,0,0,8.300000191,104,1.09,0.0,71.49,0.016,0.007,0.065,0.13
PUMPKIN&SQUASH SD KRNLS,"PUMPKIN&SQUASH SD KRNLS,RSTD,WO/SALT",13.43,0,63,3.900000095,522,32.97,1.0,7.1,13.1,19.206,7.97,42.13
PUMPKIN&SQUASH SEEDS,"PUMPKIN&SQUASH SEEDS,WHL,RSTD,WO/SALT",53.75,0,0,0.0,446,18.55,0.0,4.5,6.032,8.844,3.67,19.4
PURSLANE,"PURSLANE,RAW",3.43,0,13,0.0,16,1.3,0.0,93.92,0.0,0.0,0.0,0.1
Pancakes plain,"Pancakes plain, frozen, ready-to-heat (includes buttermilk)",39.29,18,30,2.400000095,225,5.33,9.729999542,48.22,1.891,1.081,0.81,5.17
QUAIL,"QUAIL,BREAST,MEAT ONLY,RAW",0.0,58,0,0.0,123,22.59,0.0,71.67,0.84,0.77,0.87,2.99
QUAKER OATS,"QUAKER OATS,PROPEL FITNESS H2O,FRUIT-FLAVORED,NON-CARBONATED",1.22,0,0,0.0,5,0.0,1.220000029,98.78,0.0,0.0,0.0,0.0
QUINCES,"QUINCES,RAW",15.3,0,0,1.899999976,57,0.4,0.0,83.8,0.036,0.05,0.01,0.1
QUINOA,"QUINOA,CKD",21.3,0,0,2.799999952,120,4.4,0.0,71.61,0.0,0.0,0.0,1.92
RADICCHIO,"RADICCHIO,RAW",4.48,0,11,0.899999976,23,1.43,0.600000024,93.14,0.01,0.11,0.06,0.25
RADISH SEEDS,"RADISH SEEDS,SPROUTED,RAW",3.6,0,0,0.0,43,3.81,0.0,90.07,0.419,1.141,0.767,2.53
RADISHES,"RADISHES,WHITE ICICLE,RAW",2.63,0,0,1.399999976,14,1.1,0.0,95.37,0.016,0.045,0.03,0.1
RAISINS,"RAISINS,SEEDLESS",79.18,0,11,3.700000048,299,3.07,59.18999863,15.43,0.051,0.037,0.058,0.46
RAMBUTAN,"RAMBUTAN,CND,SYRUP PK",20.87,0,0,0.899999976,82,0.65,0.0,78.04,0.0,0.0,0.0,0.21
RASPBERRIES,"RASPBERRIES,WILD (NORTHERN PLAINS INDIANS)",13.85,0,10,7.5,62,1.12,5.539999962,84.48,0.0,0.0,0.0,0.28
RED BARON PREMIUM POCKETS,"RED BARON PREMIUM POCKETS,ORIGINAL HAM&CHS,FRZ",27.2,31,0,0.0,268,11.2,0.0,46.2,4.62,1.35,4.66,12.7
REFRIED BNS,"REFRIED BNS,CND,FAT-FREE",13.5,0,0,4.699999809,79,5.34,0.610000014,78.69,0.044,0.287,0.093,0.45
RENNIN,"RENNIN,VANILLA,DRY MIX,PREP W/ 2% MILK",12.34,7,0,0.0,77,3.06,0.0,82.11,0.484,0.065,1.061,1.77
RHUBARB,"RHUBARB,WILD,LEAVES (ALASKA NATIVE)",9.9,0,0,0.0,61,4.2,0.0,83.5,0.0,0.0,0.0,0.5
RICE,"RICE,WHITE,STMD,CHINESE RESTAURANT",33.88,0,0,0.899999976,151,3.2,0.0,62.5,0.0,0.0,0.0,0.27
RICE BOWL W/ CHICK,"RICE BOWL W/ CHICK,FRZ ENTREE,PREP",22.46,16,13,0.699999988,126,5.65,4.070000172,69.09,0.503,0.415,0.327,1.56
RICE BRAN,"RICE BRAN,CRUDE",49.69,0,32,21.0,316,13.35,0.899999976,6.13,7.549,7.459,4.171,20.85
RICE CAKE,"RICE CAKE,CRACKER (INCL HAIN MINI RICE CAKES)",81.1,0,19,4.199999809,392,7.1,0.879999995,5.8,1.582,1.52,0.875,4.3
RICE CAKES,"RICE CAKES,BROWN RICE,SESAME SD",81.5,0,0,5.400000095,392,7.6,0.0,5.9,1.1,1.15,0.54,3.8
RICE FLOUR,"RICE FLOUR,WHITE",80.13,0,6,2.400000095,366,5.95,0.119999997,11.89,0.442,0.379,0.386,1.42
RICE NOODLES,"RICE NOODLES,COOKED",24.9,0,0,1.0,109,0.91,0.0,73.82,0.026,0.023,0.023,0.2
ROCKFISH,"ROCKFISH,PACIFIC,MXD SP,RAW",0.0,35,65,0.0,94,18.75,0.0,79.26,0.33,0.482,0.37,1.57
ROE,"ROE,MIXED SPECIES,RAW",1.5,374,335,0.0,143,22.32,0.0,67.73,1.661,2.656,1.456,6.42
ROLLS,"ROLLS,HAMBURGER OR HOTDOG,RED-CAL",42.1,0,15,6.199999809,196,8.3,4.760000229,46.0,0.524,0.763,0.325,2.0
ROSE HIPS,"ROSE HIPS,WILD (NORTHERN PLAINS INDIANS)",38.22,0,12,24.10000038,162,1.6,2.579999924,58.66,0.0,0.0,0.0,0.34
ROSE-APPLES,"ROSE-APPLES,RAW",5.7,0,0,0.0,25,0.6,0.0,93.0,0.0,0.0,0.0,0.3
ROSELLE,"ROSELLE,RAW",11.31,0,0,0.0,49,0.96,0.0,86.58,0.0,0.0,0.0,0.64
ROSEMARY,"ROSEMARY,FRESH",20.7,0,0,14.10000038,131,3.31,0.0,67.77,1.16,0.901,2.838,5.86
ROUGHY,"ROUGHY,ORANGE,RAW",0.0,60,0,0.0,76,16.41,0.0,75.67,0.239,0.109,0.015,0.7
ROWAL,"ROWAL,RAW",23.9,0,0,6.199999809,111,2.3,14.10000038,71.4,0.0,0.0,0.245,2.0
RUTABAGAS,"RUTABAGAS,RAW",8.13,0,14,2.5,36,1.2,5.599999905,89.66,0.025,0.088,0.027,0.2
RYE FLOUR,"RYE FLOUR,LIGHT",80.23,0,11,14.60000038,367,8.39,1.039999962,8.78,0.153,0.565,0.145,1.36
SABLEFISH,"SABLEFISH,RAW",0.0,49,0,0.0,195,13.41,0.0,71.02,8.057,2.042,3.201,15.3
SAFFLOWER SD KRNLS,"SAFFLOWER SD KRNLS,DRIED",34.29,0,0,0.0,517,16.18,0.0,5.62,4.848,28.223,3.682,38.45
SAFFLOWER SD MEAL,"SAFFLOWER SD MEAL,PART DEFATTED",48.73,0,0,0.0,342,35.62,0.0,6.41,0.272,1.584,0.207,2.39
SAGE,"SAGE,GROUND",60.73,0,44,40.29999924,315,10.63,1.710000038,7.96,1.87,1.76,7.03,12.75
SALAD DRESSING,"SALAD DRESSING,COLESLAW",23.8,26,15,0.100000001,390,0.9,20.11000061,39.9,9.0,18.0,4.9,33.4
SALAD DRSNG,"SALAD DRSNG,SWT&SOUR",3.7,0,0,0.0,15,0.1,3.700000048,95.7,0.0,0.0,0.0,0.0
SALAMI,"SALAMI,COOKED,TURKEY",0.77,76,53,0.100000001,168,19.3,1.120000005,68.93,3.172,2.466,2.783,9.21
SALMON,"SALMON,PINK,RAW",0.0,52,95,0.0,116,19.94,0.0,76.35,0.934,1.353,0.558,3.45
SALMONBERRIES,"SALMONBERRIES,RAW (ALASKA NATIVE)",10.05,0,0,1.899999976,47,0.85,3.660000086,88.21,0.0,0.0,0.0,0.33
SALSIFY,"SALSIFY,(VEG OYSTER),RAW",18.6,0,0,3.299999952,82,3.3,0.0,77.0,0.0,0.0,0.0,0.2
SALT,"SALT,TABLE",0.0,0,0,0.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
SANDWICH SPRD,"SANDWICH SPRD,W/CHOPD PICKLE,REG,UNSPEC OILS",22.4,76,15,0.400000006,389,0.9,15.18000031,40.8,7.4,20.0,5.1,34.0
SANDWICH SPREAD,"SANDWICH SPREAD,MEATLESS",9.0,0,46,3.299999952,149,8.0,4.579999924,70.0,2.188,4.666,1.425,9.0
SANDWICHES&BURGERS,"SANDWICHES&BURGERS,STEAK SNDWCH",25.47,36,0,0.0,225,14.87,0.0,51.07,2.62,1.64,1.87,6.9
SAPODILLA,"SAPODILLA,RAW",19.96,0,0,5.300000191,83,0.44,0.0,78.0,0.521,0.011,0.194,1.1
SAPOTES,"SAPOTES,(MARMALADE PLUM),RAW",33.76,0,0,2.599999905,134,2.12,0.0,62.43,0.0,0.0,0.0,0.6
SARDINE,"SARDINE,ATLANTIC,CND IN OIL,DRND SOL W/BONE",0.0,142,85,0.0,208,24.62,0.0,59.61,3.869,5.148,1.528,11.45
SAUCE,"SAUCE,MOLE POBLANO,DRY MIX,SINGLE BRAND",41.7,0,0,10.10000038,571,7.48,0.0,4.12,0.0,0.0,0.0,41.58
SAUERKRAUT,"SAUERKRAUT,CND,LO NA",4.35,0,10,2.5,22,0.9,1.779999971,92.5,0.01,0.051,0.026,0.1
SAUSAGE,"SAUSAGE,MEATLESS",9.84,0,70,2.799999952,257,18.53,0.0,50.4,4.498,9.279,2.926,18.16
SAVORY,"SAVORY,GROUND",68.73,0,0,45.70000076,272,6.73,0.0,9.0,0.0,0.0,3.26,5.91
SCALLOP,"SCALLOP,MIXED SPECIES,RAW",2.36,33,65,0.0,88,16.78,0.0,78.57,0.037,0.261,0.079,0.76
SCRAMBLED EGGS&SAUSAGE W/HASHED BROWN POTATOES,"SCRAMBLED EGGS&SAUSAGE W/HASHED BROWN POTATOES,FRZ BRKFST",9.7,160,0,0.800000012,204,7.1,0.0,66.3,7.16,2.05,4.15,15.2
SCRAPPLE,"SCRAPPLE,PORK",14.06,49,72,0.300000012,213,8.06,0.200000003,62.47,6.156,1.664,4.732,13.87
SCUP,"SCUP,COOKED,DRY HEAT",0.0,67,0,0.0,135,24.21,0.0,68.42,0.0,0.0,0.0,3.5
SEA BASS,"SEA BASS,MXD SP,RAW",0.0,41,65,0.0,97,18.43,0.0,78.27,0.424,0.743,0.511,2.0
SEA CUCUMBER,"SEA CUCUMBER,YANE (ALASKA NATIVE)",0.0,0,0,0.0,56,13.0,0.0,80.7,0.0,0.0,0.0,0.4
SEA LION,"SEA LION,STELLAR,HEART (ALASKA NATIVE)",1.0,0,0,0.0,102,17.0,0.0,76.2,0.0,0.0,0.0,3.3
SEAL,"SEAL,BEARDED (OOGRUK),MEAT,PART DRIED (ALASKA NATIVE)",0.0,0,103,0.0,270,62.38,0.0,34.92,0.0,0.0,0.0,2.31
SEATROUT,"SEATROUT,MXD SP,RAW",0.0,83,0,0.0,104,16.74,0.0,78.09,0.884,0.725,1.009,3.61
SEAWEED,"SEAWEED,AGAR,RAW",6.75,0,6,0.5,26,0.54,0.280000001,91.32,0.003,0.01,0.006,0.03
SEEDS,"SEEDS,FLAXSEED",28.88,0,79,27.29999924,534,18.29,1.549999952,6.96,7.527,28.73,3.663,42.16
SEMOLINA,"SEMOLINA,ENRICHED",72.83,0,0,3.900000095,360,12.68,0.0,12.67,0.124,0.43,0.15,1.05
SESAME BUTTER,"SESAME BUTTER,TAHINI,FROM RAW&STONE GROUND KRNLS",26.19,0,0,9.300000191,570,17.81,0.0,3.0,18.127,21.039,6.722,48.0
SESAME FLOUR,"SESAME FLOUR,LOW-FAT",35.51,0,0,0.0,333,50.14,0.0,7.1,0.543,0.63,0.201,1.75
SESAME FLR,"SESAME FLR,PART DEFATTED",35.14,0,0,0.0,382,40.32,0.0,6.61,4.405,5.113,1.634,11.89
SESAME MEAL,"SESAME MEAL,PART DEFATTED",26.04,0,0,0.0,567,16.96,0.0,5.0,18.127,21.039,6.722,48.0
SESAME SD KRNLS,"SESAME SD KRNLS,TSTD,WO/SALT (DECORT)",26.04,0,26,16.89999962,567,16.96,0.479999989,5.0,18.127,21.039,6.722,48.0
SESAME SEEDS,"SESAME SEEDS,WHL,RSTD&TSTD",25.74,0,0,14.0,565,16.96,0.0,3.3,18.127,21.039,6.722,48.0
SESAME STKS,"SESAME STKS,WHEAT-BASED,UNSALTED",46.5,0,0,0.0,541,10.9,0.0,2.0,10.91,17.42,6.48,36.7
SESBANIA FLOWER,"SESBANIA FLOWER,RAW",6.73,0,0,0.0,27,1.28,0.0,91.58,0.0,0.0,0.0,0.04
SHAD,"SHAD,AMERICAN,CKD,DRY HEAT",0.0,96,0,0.0,252,21.71,0.0,59.22,0.0,0.0,0.0,17.65
