Category,Description,Carbohydrate,Cholesterol,Choline,Fiber,Kilocalories,Protein,Sugar Total,Water,Monosaturated Fat,Polysaturated Fat,Saturated Fat,Total Lipid
HUSH PUPPIES,"HUSH PUPPIES,PREP FROM RECIPE",46.0,45,33,2.799999952,337,7.7,2.029999971,29.0,3.263,7.219,2.108,13.5
HYACINTH BNS,"HYACINTH BNS,MATURE SEEDS,CKD,BLD,WO/SALT",20.7,0,0,0.0,117,8.14,0.0,69.13,0.0,0.0,0.099,0.58
HYACINTH-BEANS,"HYACINTH-BEANS,IMMAT SEEDS,RAW",9.19,0,0,0.0,46,2.1,0.0,87.87,0.095,0.008,0.088,0.2
ICE CREAMS,"ICE CREAMS,VANILLA,FAT FREE",30.06,0,24,1.0,138,4.48,6.300000191,64.35,0.0,0.0,0.0,0.0
ICE CRM CONES,"ICE CRM CONES,SUGAR,ROLLED-TYPE",84.1,0,8,1.700000048,402,7.9,25.65999985,3.0,1.47,1.452,0.573,3.8
IMITATION CHS,"IMITATION CHS,AMERICAN OR CHEDDAR,LO CHOL",1.0,15,0,0.0,390,25.0,1.0,38.0,14.127,10.615,5.815,32.0
INF FO,"INF FO,ME JOHN,EN,NUTR LIPIL,W/ IRON,RE TO FE,W/ ARA & DHA",6.81,0,8,0.0,66,1.83,5.130000114,87.38,1.255,0.67,1.453,3.5
INF FOR,"INF FOR,MEJOHN,PROSOBEE LIPIL,W/ IRON,RE TO FE,W/ ARA & DHA",6.11,0,8,0.0,64,1.64,6.110000134,88.35,1.255,0.671,1.453,3.5
INF FOR NUTR,"INF FOR NUTR,SI LAC ADVA,LIQ CONCENTW/ ARA & DHA,(FORME R)",13.78,4,21,0.0,129,2.73,13.77999973,75.88,0.715,1.548,4.522,6.95
INF FORM,"INF FORM,ABB NUTR,SIMI,ISO,W/ IRON,RTF,(FOR RO)",6.7,0,8,0.0,66,1.61,6.699999809,87.54,1.371,0.838,1.166,3.59
INF FORMMEAD JOHN,"INF FORMMEAD JOHN,ENFAMIL LIPIL,W/ IRON,RTF,W/ ARA & DHA",7.18,1,8,0.0,65,1.38,7.179999828,88.35,1.255,0.67,1.453,3.5
INF FORMU,"INF FORMU,PBM PRO,ULTRA BRI BEGINN,RTF (FORME WYETH-AYERST)",6.4,4,10,0.0,63,1.4,6.400000095,88.1,1.4,0.5,1.6,3.5
INF FORMULA,"INF FORMULA,ABB NUTR,SIMI,ISO,ADVA W/ IRON,RTF,(FORM RO)",6.7,0,8,0.0,66,1.61,6.699999809,87.54,1.371,0.838,1.166,3.59
INFANT FORMULA,"INFANT FORMULA,MEAD JOHNSON,ENFAMIL,W/IRON,RTF",7.18,1,16,0.0,63,1.38,7.179999828,88.35,1.33,0.67,1.469,3.5
INTERSTATE BRANDS CORP,"INTERSTATE BRANDS CORP,WONDER HAMBURGER ROLLS",50.84,0,0,2.599999905,273,8.07,11.06000042,34.2,0.848,2.177,1.013,4.15
Infa for,"Infa for, A N, SI, ALI, ADVA ready, withARA and DHA, (fo R)",6.77,1,8,0.0,67,1.8,4.400000095,87.32,0.294,1.126,1.838,3.63
JACKFRUIT,"JACKFRUIT,CND,SYRUP PK",23.94,0,0,0.899999976,92,0.36,0.0,75.28,0.0,0.0,0.0,0.14
JAMS & PRESERVES,"JAMS & PRESERVES,DIETETIC (WITH NA SACCHARIN),ANY FLAVOR",53.6,0,8,2.5,132,0.3,37.81000137,45.8,0.042,0.151,0.016,0.3
JAMS&PRESERVES,"JAMS&PRESERVES,APRICOT",64.4,0,0,0.300000012,242,0.7,43.40000153,34.5,0.0,0.0,0.01,0.2
JAVA-PLUM,"JAVA-PLUM,(JAMBOLAN),RAW",15.56,0,0,0.0,60,0.72,0.0,83.13,0.0,0.0,0.0,0.23
JELLIES,"JELLIES,RED SUGAR,HOME PRESERVED",46.1,0,7,0.800000012,179,0.3,45.29999924,53.0,0.001,0.008,0.009,0.03
JELLYFISH,"JELLYFISH,DRIED,SALTED",0.0,5,95,0.0,36,5.5,0.0,68.0,0.202,0.475,0.273,1.4
JERUSALEM-ARTICHOKES,"JERUSALEM-ARTICHOKES,RAW",17.44,0,30,1.600000024,73,2.0,9.600000381,78.01,0.004,0.001,0.0,0.01
JEW'S EAR,"JEW'S EAR,(PEPEAO),RAW",6.75,0,0,0.0,25,0.48,0.0,92.59,0.0,0.0,0.0,0.04
JIMMY DEAN,"JIMMY DEAN,SAUSAGE BISCUITS,BRKFST SNDWCH,FRZ",24.1,33,0,1.5,401,9.9,0.0,33.5,0.0,0.0,8.97,29.4
JUICE,"JUICE,APPL,GRAPE & PEAR BLEND,W/ ADDED VIT C & CA",12.96,0,0,0.0,52,0.17,9.949999809,86.44,0.0,0.0,0.0,0.12
JUJUBE,"JUJUBE,RAW",20.23,0,0,0.0,79,1.2,0.0,77.86,0.0,0.0,0.0,0.2
JUTE,"JUTE,POTHERB,CKD,BLD,DRND,WO/SALT",7.29,0,13,2.0,37,3.68,1.0,87.15,0.014,0.096,0.03,0.2
KALE,"KALE,CKD,BLD,DRND,WO/SALT",5.63,0,0,2.0,28,1.9,1.25,91.2,0.03,0.193,0.052,0.4
KAMUT,"KAMUT,CKD",30.46,0,0,0.0,146,6.45,0.0,61.42,0.0,0.0,0.0,0.91
KANPYO,"KANPYO,(DRIED GOURD STRIPS)",65.04,0,0,0.0,258,8.58,0.0,19.97,0.103,0.244,0.045,0.56
KEEBLER,"KEEBLER,KEEBLER CHOC GRAHAM SELECTS",71.8,0,0,0.0,465,7.1,26.5,3.1,0.0,0.0,3.09,16.6
KELLOGG,"KELLOGG,KELLOGG'S LOFAT POP TARTS,FRSTD CHOC FUDGE",76.0,0,0,1.100000024,366,5.1,36.20000076,12.5,2.4,1.7,1.0,5.8
KELLOGG'S POP-TARTS PASTRY SWIRLS,"KELLOGG'S POP-TARTS PASTRY SWIRLS,APPL CINN DANISH",59.7,0,0,1.399999976,413,4.8,17.70000076,16.8,5.8,7.1,4.8,17.7
KENTUCKY FRIED CHICK,"KENTUCKY FRIED CHICK,EX CRISPY,BREAST,MEAT ONLY",0.15,87,0,0.0,166,29.47,0.0,63.19,2.206,0.736,1.161,5.32
KID CUISINE CHK NUG,"KID CUISINE CHK NUG, PSTA IN CHS SAU,CRN,CHOC PUDD W/SPRINK",19.77,22,0,2.900000095,178,7.2,10.93000031,63.94,3.09,1.9,2.16,7.78
KIELBASA,"KIELBASA,POLISH,TURKEY & BF,SMOKED",3.9,70,0,0.0,226,13.1,0.0,62.0,8.27,2.33,6.23,17.6
KIWI FRUIT,"KIWI FRUIT,(CHINESE GOOSEBERRIES),FRSH,RAW",14.66,0,8,3.0,61,1.14,8.989999771,83.07,0.047,0.287,0.029,0.52
KIWIFRUIT,"KIWIFRUIT,(CHINESE GOOSEBERRIES),HELD IN STORAGE,RAW",14.88,0,0,3.400000095,61,0.99,0.0,83.05,0.0,0.0,0.0,0.44
KOHLRABI,"KOHLRABI,RAW",6.2,0,12,3.599999905,27,1.7,2.599999905,91.0,0.007,0.048,0.013,0.1
KRAFT,"KRAFT,STOVE TOP STUFFING MIX CHICKEN FLAVOR",73.1,4,0,2.5,381,12.6,10.10000038,5.3,0.0,0.0,0.8,4.1
KRAFT FOODS,"KRAFT FOODS,SHAKE 'N' BAKE ORIG RECIPE,COATING FOR PORK,DRY",79.8,0,0,0.0,377,6.1,0.0,3.2,0.0,0.0,0.0,3.7
KRAFT MACARONI & CHEESE DINNER ORIGINAL FLAVOR,"KRAFT MACARONI & CHEESE DINNER ORIGINAL FLAVOR,UNPREP",67.9,14,0,2.099999905,370,16.2,10.0,7.7,0.0,0.0,1.8,3.7
KUMQUATS,"KUMQUATS,RAW",15.9,0,8,6.5,71,1.88,9.359999657,80.85,0.154,0.171,0.103,0.86
LAMB,"LAMB,VAR MEATS&BY-PRODUCTS,LUNGS,RAW",0.0,0,0,0.0,95,16.7,0.0,79.7,0.67,0.35,0.89,2.6
